model-1581380785,1581380794.828,0.62,0.24,0.55,0.24
model-1581380785,1581380794.992,0.6,0.24,0.57,0.25
model-1581380785,1581380795.158,0.66,0.22,0.48,0.25
model-1581380785,1581380795.324,0.59,0.24,0.61,0.24
model-1581380785,1581380795.49,0.57,0.25,0.56,0.24
model-1581380785,1581380795.658,0.67,0.22,0.51,0.27
model-1581380785,1581380795.827,0.59,0.23,0.55,0.26
model-1581380785,1581380795.983,0.5,0.25,0.56,0.24
model-1581380785,1581380796.157,0.58,0.24,0.69,0.22
model-1581380785,1581380796.331,0.55,0.24,0.59,0.24
model-1581380785,1581380796.494,0.64,0.24,0.53,0.26
model-1581380785,1581380796.664,0.63,0.24,0.63,0.23
model-1581380785,1581380796.836,0.6,0.24,0.59,0.24
model-1581380785,1581380797.012,0.61,0.23,0.57,0.23
model-1581380785,1581380797.186,0.64,0.23,0.61,0.23
model-1581380785,1581380797.363,0.67,0.22,0.57,0.24
model-1581380785,1581380797.535,0.62,0.24,0.66,0.23
model-1581380785,1581380797.702,0.64,0.23,0.57,0.24
model-1581380785,1581380797.872,0.59,0.24,0.6,0.22
model-1581380785,1581380798.042,0.62,0.23,0.62,0.23
model-1581380785,1581380798.213,0.62,0.23,0.64,0.23
model-1581380785,1581380798.393,0.61,0.24,0.71,0.22
model-1581380785,1581380798.567,0.59,0.23,0.63,0.23
model-1581380785,1581380798.742,0.59,0.23,0.56,0.24
model-1581380785,1581380798.92,0.47,0.26,0.68,0.21
model-1581380785,1581380799.094,0.63,0.23,0.58,0.23
model-1581380785,1581380799.26,0.63,0.24,0.61,0.23
model-1581380785,1581380799.43,0.58,0.24,0.49,0.26
model-1581380785,1581380799.593,0.56,0.24,0.62,0.23
model-1581380785,1581380799.762,0.56,0.25,0.61,0.23
model-1581380785,1581380799.936,0.61,0.23,0.56,0.24
model-1581380785,1581380800.104,0.63,0.23,0.65,0.22
model-1581380785,1581380800.278,0.66,0.23,0.53,0.24
model-1581380785,1581380800.452,0.54,0.25,0.6,0.23
model-1581380785,1581380800.616,0.61,0.23,0.65,0.23
model-1581380785,1581380800.784,0.6,0.23,0.65,0.22
model-1581380785,1581380800.951,0.69,0.22,0.61,0.23
model-1581380785,1581380801.119,0.66,0.23,0.62,0.23
model-1581380785,1581380801.283,0.61,0.22,0.53,0.26
model-1581380785,1581380801.44,0.52,0.25,0.72,0.21
model-1581380785,1581380801.601,0.62,0.22,0.68,0.22
model-1581380785,1581380801.781,0.65,0.23,0.53,0.25
model-1581380785,1581380801.952,0.61,0.21,0.57,0.24
model-1581380785,1581380802.123,0.65,0.21,0.63,0.22
model-1581380785,1581380802.295,0.64,0.21,0.66,0.21
model-1581380785,1581380802.461,0.6,0.23,0.6,0.23
model-1581380785,1581380802.63,0.65,0.22,0.68,0.22
model-1581380785,1581380802.802,0.74,0.2,0.6,0.22
model-1581380785,1581380802.967,0.69,0.21,0.72,0.2
model-1581380785,1581380803.133,0.61,0.25,0.74,0.19
model-1581380785,1581380803.297,0.65,0.23,0.61,0.23
model-1581380785,1581380803.468,0.67,0.22,0.6,0.25
model-1581380785,1581380803.633,0.64,0.22,0.67,0.22
model-1581380785,1581380803.802,0.71,0.2,0.63,0.23
model-1581380785,1581380803.97,0.6,0.22,0.65,0.22
model-1581380785,1581380804.142,0.61,0.22,0.63,0.22
model-1581380785,1581380804.314,0.64,0.22,0.66,0.21
model-1581380785,1581380804.479,0.66,0.23,0.69,0.21
model-1581380785,1581380804.642,0.65,0.23,0.59,0.24
model-1581380785,1581380804.81,0.64,0.23,0.63,0.22
model-1581380785,1581380804.977,0.64,0.23,0.68,0.2
model-1581380785,1581380805.144,0.56,0.23,0.66,0.21
model-1581380785,1581380805.311,0.68,0.21,0.57,0.24
model-1581380785,1581380805.479,0.66,0.23,0.69,0.2
model-1581380785,1581380805.648,0.66,0.22,0.7,0.21
model-1581380785,1581380805.818,0.62,0.23,0.67,0.22
model-1581380785,1581380805.988,0.61,0.22,0.72,0.2
model-1581380785,1581380806.158,0.65,0.21,0.68,0.21
model-1581380785,1581380806.329,0.66,0.22,0.64,0.23
model-1581380785,1581380806.497,0.67,0.22,0.63,0.24
model-1581380785,1581380806.667,0.62,0.2,0.56,0.25
model-1581380785,1581380806.839,0.61,0.23,0.63,0.22
model-1581380785,1581380807.009,0.62,0.22,0.62,0.24
model-1581380785,1581380807.172,0.67,0.22,0.72,0.2
model-1581380785,1581380807.347,0.66,0.23,0.72,0.19
model-1581380785,1581380807.523,0.67,0.22,0.63,0.23
model-1581380785,1581380807.694,0.6,0.24,0.62,0.23
model-1581380785,1581380807.863,0.6,0.23,0.57,0.23
model-1581380785,1581380808.037,0.73,0.19,0.65,0.22
model-1581380785,1581380808.208,0.77,0.19,0.64,0.22
model-1581380785,1581380808.378,0.68,0.21,0.58,0.25
model-1581380785,1581380808.545,0.7,0.21,0.69,0.21
model-1581380785,1581380808.71,0.66,0.22,0.66,0.21
model-1581380785,1581380808.873,0.57,0.25,0.65,0.21
model-1581380785,1581380809.044,0.6,0.22,0.63,0.21
model-1581380785,1581380809.211,0.61,0.23,0.66,0.21
model-1581380785,1581380809.382,0.62,0.22,0.62,0.24
model-1581380785,1581380809.552,0.62,0.23,0.69,0.2
model-1581380785,1581380809.724,0.75,0.19,0.66,0.21
model-1581380785,1581380809.886,0.7,0.22,0.56,0.24
model-1581380785,1581380810.052,0.63,0.22,0.6,0.23
model-1581380785,1581380810.225,0.63,0.2,0.71,0.2
model-1581380785,1581380810.394,0.6,0.23,0.67,0.21
model-1581380785,1581380810.556,0.55,0.23,0.71,0.21
model-1581380785,1581380810.727,0.58,0.23,0.6,0.22
model-1581380785,1581380810.894,0.54,0.24,0.64,0.23
model-1581380785,1581380811.064,0.64,0.23,0.7,0.2
model-1581380785,1581380811.232,0.61,0.23,0.61,0.23
model-1581380785,1581380811.397,0.49,0.23,0.65,0.22
model-1581380785,1581380811.573,0.71,0.2,0.66,0.21
model-1581380785,1581380811.745,0.64,0.23,0.68,0.21
model-1581380785,1581380811.902,0.63,0.21,0.63,0.22
model-1581380785,1581380812.066,0.66,0.21,0.67,0.22
model-1581380785,1581380812.232,0.78,0.19,0.6,0.22
model-1581380785,1581380812.399,0.75,0.2,0.65,0.23
model-1581380785,1581380812.567,0.73,0.2,0.6,0.23
model-1581380785,1581380812.736,0.72,0.19,0.59,0.25
model-1581380785,1581380812.9,0.7,0.19,0.67,0.21
model-1581380785,1581380813.067,0.53,0.25,0.63,0.24
model-1581380785,1581380813.235,0.64,0.23,0.66,0.24
model-1581380785,1581380813.401,0.68,0.21,0.53,0.26
model-1581380785,1581380813.567,0.64,0.22,0.7,0.2
model-1581380785,1581380813.737,0.72,0.19,0.71,0.2
model-1581380785,1581380813.906,0.69,0.2,0.6,0.22
model-1581380785,1581380814.072,0.59,0.24,0.66,0.22
model-1581380785,1581380814.242,0.66,0.21,0.71,0.19
model-1581380785,1581380814.415,0.65,0.21,0.78,0.17
model-1581380785,1581380814.584,0.72,0.19,0.7,0.21
model-1581380785,1581380814.759,0.64,0.22,0.69,0.21
model-1581380785,1581380814.928,0.64,0.21,0.62,0.23
model-1581380785,1581380815.098,0.62,0.22,0.62,0.25
model-1581380785,1581380815.268,0.51,0.29,0.63,0.22
model-1581380785,1581380815.439,0.69,0.22,0.64,0.22
model-1581380785,1581380815.613,0.63,0.22,0.52,0.25
model-1581380785,1581380815.776,0.56,0.25,0.55,0.24
model-1581380785,1581380815.945,0.68,0.2,0.55,0.25
model-1581380785,1581380816.112,0.63,0.23,0.62,0.23
model-1581380785,1581380816.287,0.61,0.22,0.58,0.23
model-1581380785,1581380816.45,0.7,0.2,0.7,0.21
model-1581380785,1581380816.617,0.66,0.21,0.64,0.23
model-1581380785,1581380816.785,0.61,0.22,0.67,0.21
model-1581380785,1581380816.954,0.7,0.21,0.57,0.25
model-1581380785,1581380817.124,0.61,0.22,0.68,0.22
model-1581380785,1581380817.292,0.7,0.21,0.62,0.22
model-1581380785,1581380817.462,0.65,0.21,0.62,0.23
model-1581380785,1581380817.628,0.62,0.21,0.66,0.22
model-1581380785,1581380817.799,0.65,0.23,0.62,0.22
model-1581380785,1581380817.961,0.65,0.21,0.69,0.21
